stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,events_list,lineup_home,lineup_away
Quarter-finals,10/12/2022,False,False,False,England,France,1,2,58%, 42% ,16, 8 ,8, 5 ,55%, 45% , 40% , 5% , 55% ,672574,Al Bayt Stadium,"[{'event_team': 'away', 'event_time': "" 17' "", 'event_type': 'Goal', 'action_player_1': ' Aurélien Tchouaméni ', 'action_player_2': ' Antoine Griezmann '}, {'event_team': 'away', 'event_time': "" 43' "", 'event_type': 'Yellow card', 'action_player_1': ' Antoine Griezmann '}, {'event_team': 'away', 'event_time': "" 46' "", 'event_type': 'Yellow card', 'action_player_1': ' Ousmane Dembélé '}, {'event_team': 'home', 'event_time': "" 54' "", 'event_type': 'Penalty', 'action_player_1': ' Harry Kane ', 'action_player_2': ' Penalty '}, {'event_team': 'away', 'event_time': "" 78' "", 'event_type': 'Goal', 'action_player_1': ' Olivier Giroud ', 'action_player_2': ' Antoine Griezmann '}, {'event_team': 'home', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Mason Mount ', 'action_player_2': ' Jordan Henderson '}, {'event_team': 'away', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Kingsley Coman ', 'action_player_2': ' Ousmane Dembélé '}, {'event_team': 'home', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Raheem Sterling ', 'action_player_2': ' Bukayo Saka '}, {'event_team': 'away', 'event_time': "" 82' "", 'event_type': 'Yellow card', 'action_player_1': ' Theo Hernandez '}, {'event_team': 'home', 'event_time': "" 84' "", 'event_type': 'Missed penalty', 'action_player_1': ' Harry Kane ', 'action_player_2': ' Missed penalty '}, {'event_team': 'home', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Marcus Rashford ', 'action_player_2': ' Phil Foden '}, {'event_team': 'home', 'event_time': "" 90' "", 'event_type': 'Yellow card', 'action_player_1': ' Harry Maguire '}, {'event_team': 'home', 'event_time': "" 98' "", 'event_type': 'Substitution', 'action_player_1': ' Jack Grealish ', 'action_player_2': ' John Stones '}]","[{'player_name': ' Foden ', 'player_number': ' 20'}, {'player_name': ' Kane ', 'player_number': ' 9'}, {'player_name': ' Saka ', 'player_number': ' 17'}, {'player_name': ' Bellingham ', 'player_number': ' 22'}, {'player_name': ' Rice ', 'player_number': ' 4'}, {'player_name': ' Henderson ', 'player_number': ' 8'}, {'player_name': ' Shaw ', 'player_number': ' 3'}, {'player_name': ' Maguire ', 'player_number': ' 6'}, {'player_name': ' Stones ', 'player_number': ' 5'}, {'player_name': ' Walker ', 'player_number': ' 2'}, {'player_name': ' Pickford ', 'player_number': ' 1'}]","[{'player_name': ' Giroud ', 'player_number': ' 9'}, {'player_name': ' Mbappé ', 'player_number': ' 10'}, {'player_name': ' Griezmann ', 'player_number': ' 7'}, {'player_name': ' Dembélé ', 'player_number': ' 11'}, {'player_name': ' Rabiot ', 'player_number': ' 14'}, {'player_name': ' Tchouaméni ', 'player_number': ' 8'}, {'player_name': ' Hernandez ', 'player_number': ' 22'}, {'player_name': ' Upamecano ', 'player_number': ' 18'}, {'player_name': ' Varane ', 'player_number': ' 4'}, {'player_name': ' Koundé ', 'player_number': ' 5'}, {'player_name': ' Lloris ', 'player_number': ' 1'}]"
Quarter-finals,10/12/2022,False,False,False,Morocco,Portugal,1,0,26%, 74% ,9, 12 ,3, 3 ,48%, 52% , 33% , 3% , 64% ,641150,Al Thumama Stadium,"[{'event_team': 'home', 'event_time': "" 42' "", 'event_type': 'Goal', 'action_player_1': ' Youssef En-Nesyri ', 'action_player_2': ' Yahia Attiyat Allah '}, {'event_team': 'away', 'event_time': "" 51' "", 'event_type': 'Substitution', 'action_player_1': ' João Cancelo ', 'action_player_2': ' Raphaël Guerreiro '}, {'event_team': 'away', 'event_time': "" 51' "", 'event_type': 'Substitution', 'action_player_1': ' Cristiano Ronaldo ', 'action_player_2': ' Rúben Neves '}, {'event_team': 'home', 'event_time': "" 57' "", 'event_type': 'Substitution', 'action_player_1': ' Achraf Dari ', 'action_player_2': ' Romain Saïss '}, {'event_team': 'home', 'event_time': "" 65' "", 'event_type': 'Substitution', 'action_player_1': ' Walid Cheddira ', 'action_player_2': ' Selim Amallah '}, {'event_team': 'home', 'event_time': "" 65' "", 'event_type': 'Substitution', 'action_player_1': ' Badr Benoun ', 'action_player_2': ' Youssef En-Nesyri '}, {'event_team': 'away', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Rafael Leão ', 'action_player_2': ' Gonçalo Ramos '}, {'event_team': 'away', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Vitinha ', 'action_player_2': ' Otávio '}, {'event_team': 'home', 'event_time': "" 70' "", 'event_type': 'Yellow card', 'action_player_1': ' Achraf Dari '}, {'event_team': 'away', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Ricardo Horta ', 'action_player_2': ' Diogo Dalot '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Zakaria Aboukhlal ', 'action_player_2': ' Hakim Ziyech '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Yahya Jabrane ', 'action_player_2': ' Sofiane Boufal '}, {'event_team': 'away', 'event_time': "" 87' "", 'event_type': 'Yellow card', 'action_player_1': ' Vitinha '}, {'event_team': 'home', 'event_time': "" 91' "", 'event_type': 'Yellow card', 'action_player_1': ' Walid Cheddira '}, {'event_team': 'home', 'event_time': "" 93' "", 'event_type': 'Second yellow card', 'action_player_1': ' Walid Cheddira '}]","[{'player_name': ' Boufal ', 'player_number': ' 17'}, {'player_name': ' En-Nesyri ', 'player_number': ' 19'}, {'player_name': ' Ziyech ', 'player_number': ' 7'}, {'player_name': ' Amallah ', 'player_number': ' 15'}, {'player_name': ' Amrabat ', 'player_number': ' 4'}, {'player_name': ' Ounahi ', 'player_number': ' 8'}, {'player_name': ' Attiyat Allah ', 'player_number': ' 25'}, {'player_name': ' Saïss ', 'player_number': ' 6'}, {'player_name': ' El Yamiq ', 'player_number': ' 18'}, {'player_name': ' Hakimi ', 'player_number': ' 2'}, {'player_name': ' Bono ', 'player_number': ' 1'}]","[{'player_name': ' Félix ', 'player_number': ' 11'}, {'player_name': ' Ramos ', 'player_number': ' 26'}, {'player_name': ' Fernandes ', 'player_number': ' 8'}, {'player_name': ' Otávio ', 'player_number': ' 25'}, {'player_name': ' Neves ', 'player_number': ' 18'}, {'player_name': ' Bernardo Silva ', 'player_number': ' 10'}, {'player_name': ' Guerreiro ', 'player_number': ' 5'}, {'player_name': ' Dias ', 'player_number': ' 4'}, {'player_name': ' Pepe ', 'player_number': ' 3'}, {'player_name': ' Dalot ', 'player_number': ' 2'}, {'player_name': ' Costa ', 'player_number': ' 22'}]"
Quarter-finals,09/12/2022,True,3,4,Netherlands,Argentina,2,2,52%, 48% ,6, 14 ,2, 5 ,45%, 55% , 24% , 3% , 73% ,690888,Lusail Iconic Stadium,"[{'event_team': 'away', 'event_time': "" 35' "", 'event_type': 'Goal', 'action_player_1': ' Nahuel Molina ', 'action_player_2': ' Lionel Messi '}, {'event_team': 'home', 'event_time': "" 43' "", 'event_type': 'Yellow card', 'action_player_1': ' Jurriën Timber '}, {'event_team': 'away', 'event_time': "" 43' "", 'event_type': 'Yellow card', 'action_player_1': ' Marcos Acuña '}, {'event_team': 'away', 'event_time': "" 45' "", 'event_type': 'Yellow card', 'action_player_1': ' Cristian Romero '}, {'event_team': 'home', 'event_time': "" 47' "", 'event_type': 'Yellow card', 'action_player_1': ' Wout Weghorst '}, {'event_team': 'home', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Steven Berghuis ', 'action_player_2': ' Steven Bergwijn '}, {'event_team': 'home', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Teun Koopmeiners ', 'action_player_2': ' Marten de Roon '}, {'event_team': 'home', 'event_time': "" 64' "", 'event_type': 'Substitution', 'action_player_1': ' Luuk de Jong ', 'action_player_2': ' Daley Blind '}, {'event_team': 'away', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Leandro Paredes ', 'action_player_2': ' Rodrigo De Paul '}, {'event_team': 'away', 'event_time': "" 73' "", 'event_type': 'Penalty', 'action_player_1': ' Lionel Messi ', 'action_player_2': ' Penalty '}, {'event_team': 'home', 'event_time': "" 76' "", 'event_type': 'Yellow card', 'action_player_1': ' Memphis '}, {'event_team': 'away', 'event_time': "" 76' "", 'event_type': 'Yellow card', 'action_player_1': ' Lisandro Martínez '}, {'event_team': 'away', 'event_time': "" 78' "", 'event_type': 'Substitution', 'action_player_1': ' Nicolás Tagliafico ', 'action_player_2': ' Marcos Acuña '}, {'event_team': 'away', 'event_time': "" 78' "", 'event_type': 'Substitution', 'action_player_1': ' Germán Pezzella ', 'action_player_2': ' Cristian Romero '}, {'event_team': 'home', 'event_time': "" 78' "", 'event_type': 'Substitution', 'action_player_1': ' Wout Weghorst ', 'action_player_2': ' Memphis '}, {'event_team': 'away', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Lautaro Martínez ', 'action_player_2': ' Julián Álvarez '}, {'event_team': 'home', 'event_time': "" 83' "", 'event_type': 'Goal', 'action_player_1': ' Wout Weghorst ', 'action_player_2': ' Steven Berghuis '}, {'event_team': 'home', 'event_time': "" 88' "", 'event_type': 'Yellow card', 'action_player_1': ' Steven Berghuis '}, {'event_team': 'away', 'event_time': "" 89' "", 'event_type': 'Yellow card', 'action_player_1': ' Leandro Paredes '}, {'event_team': 'away', 'event_time': "" 100' "", 'event_type': 'Yellow card', 'action_player_1': ' Lionel Messi '}, {'event_team': 'home', 'event_time': "" 101' "", 'event_type': 'Goal', 'action_player_1': ' Wout Weghorst ', 'action_player_2': ' Teun Koopmeiners '}, {'event_team': 'away', 'event_time': "" 101' "", 'event_type': 'Yellow card', 'action_player_1': ' Nicolás Otamendi '}, {'event_team': 'home', 'event_time': "" 104' "", 'event_type': 'Yellow card', 'action_player_1': ' Steven Bergwijn '}, {'event_team': 'away', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Gonzalo Montiel ', 'action_player_2': ' Nahuel Molina '}, {'event_team': 'away', 'event_time': "" 109' "", 'event_type': 'Yellow card', 'action_player_1': ' Gonzalo Montiel '}, {'event_team': 'away', 'event_time': "" 112' "", 'event_type': 'Substitution', 'action_player_1': ' Ángel Di María ', 'action_player_2': ' Lisandro Martínez '}, {'event_team': 'away', 'event_time': "" 112' "", 'event_type': 'Yellow card', 'action_player_1': ' Germán Pezzella '}, {'event_team': 'home', 'event_time': "" 113' "", 'event_type': 'Substitution', 'action_player_1': ' Noa Lang ', 'action_player_2': ' Cody Gakpo '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Virgil van Dijk '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Lionel Messi '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Steven Berghuis '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Leandro Paredes '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Teun Koopmeiners '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Gonzalo Montiel '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Wout Weghorst '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Enzo Fernández '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Luuk de Jong '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Lautaro Martínez '}, {'event_team': 'home', 'event_time': "" 128' "", 'event_type': 'Yellow card', 'action_player_1': ' Denzel Dumfries '}, {'event_team': 'home', 'event_time': "" 128' "", 'event_type': 'Yellow card', 'action_player_1': ' Noa Lang '}, {'event_team': 'home', 'event_time': "" 128' "", 'event_type': 'Second yellow card', 'action_player_1': ' Denzel Dumfries '}]","[{'player_name': ' Memphis ', 'player_number': ' 10'}, {'player_name': ' Bergwijn ', 'player_number': ' 7'}, {'player_name': ' Gakpo ', 'player_number': ' 8'}, {'player_name': ' Blind ', 'player_number': ' 17'}, {'player_name': ' De Jong ', 'player_number': ' 21'}, {'player_name': ' De Roon ', 'player_number': ' 15'}, {'player_name': ' Dumfries ', 'player_number': ' 22'}, {'player_name': ' Aké ', 'player_number': ' 5'}, {'player_name': ' Van Dijk ', 'player_number': ' 4'}, {'player_name': ' Timber ', 'player_number': ' 2'}, {'player_name': ' Noppert ', 'player_number': ' 23'}]","[{'player_name': ' Álvarez ', 'player_number': ' 9'}, {'player_name': ' Messi ', 'player_number': ' 10'}, {'player_name': ' Mac Allister ', 'player_number': ' 20'}, {'player_name': ' Fernández ', 'player_number': ' 24'}, {'player_name': ' De Paul ', 'player_number': ' 7'}, {'player_name': ' Acuña ', 'player_number': ' 8'}, {'player_name': ' Martínez ', 'player_number': ' 25'}, {'player_name': ' Otamendi ', 'player_number': ' 19'}, {'player_name': ' Romero ', 'player_number': ' 13'}, {'player_name': ' Molina ', 'player_number': ' 26'}, {'player_name': ' Martínez ', 'player_number': ' 23'}]"
Quarter-finals,09/12/2022,True,4,2,Croatia,Brazil,1,1,51%, 49% ,9, 21 ,1, 11 ,55%, 45% , 11% , 3% , 86% ,646999,Education City Stadium,"[{'event_team': 'away', 'event_time': "" 25' "", 'event_type': 'Yellow card', 'action_player_1': ' Danilo '}, {'event_team': 'home', 'event_time': "" 31' "", 'event_type': 'Yellow card', 'action_player_1': ' Marcelo Brozović '}, {'event_team': 'away', 'event_time': "" 56' "", 'event_type': 'Substitution', 'action_player_1': ' Antony ', 'action_player_2': ' Raphinha '}, {'event_team': 'away', 'event_time': "" 64' "", 'event_type': 'Substitution', 'action_player_1': ' Rodrygo ', 'action_player_2': ' Vinícius Júnior '}, {'event_team': 'away', 'event_time': "" 68' "", 'event_type': 'Yellow card', 'action_player_1': ' Casemiro '}, {'event_team': 'home', 'event_time': "" 72' "", 'event_type': 'Substitution', 'action_player_1': ' Nikola Vlašić ', 'action_player_2': ' Mario Pašalić '}, {'event_team': 'home', 'event_time': "" 72' "", 'event_type': 'Substitution', 'action_player_1': ' Bruno Petković ', 'action_player_2': ' Andrej Kramarić '}, {'event_team': 'away', 'event_time': "" 77' "", 'event_type': 'Yellow card', 'action_player_1': ' Marquinhos '}, {'event_team': 'away', 'event_time': "" 84' "", 'event_type': 'Substitution', 'action_player_1': ' Pedro ', 'action_player_2': ' Richarlison '}, {'event_team': 'away', 'event_time': "" 106' "", 'event_type': 'Goal', 'action_player_1': ' Neymar ', 'action_player_2': ' Lucas Paquetá '}, {'event_team': 'home', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Lovro Majer ', 'action_player_2': ' Mateo Kovačić '}, {'event_team': 'away', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Alex Sandro ', 'action_player_2': ' Éder Militão '}, {'event_team': 'away', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Fred ', 'action_player_2': ' Lucas Paquetá '}, {'event_team': 'home', 'event_time': "" 110' "", 'event_type': 'Substitution', 'action_player_1': ' Ante Budimir ', 'action_player_2': ' Borna Sosa '}, {'event_team': 'home', 'event_time': "" 114' "", 'event_type': 'Substitution', 'action_player_1': ' Mislav Oršić ', 'action_player_2': ' Marcelo Brozović '}, {'event_team': 'home', 'event_time': "" 117' "", 'event_type': 'Goal', 'action_player_1': ' Bruno Petković ', 'action_player_2': ' Mislav Oršić '}, {'event_team': 'home', 'event_time': "" 117' "", 'event_type': 'Yellow card', 'action_player_1': ' Bruno Petković '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Nikola Vlašić '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Rodrygo '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Lovro Majer '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Casemiro '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Luka Modrić '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Pedro '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Mislav Oršić '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Marquinhos '}]","[{'player_name': ' Perišić ', 'player_number': ' 4'}, {'player_name': ' Kramarić ', 'player_number': ' 9'}, {'player_name': ' Pašalić ', 'player_number': ' 15'}, {'player_name': ' Kovačić ', 'player_number': ' 8'}, {'player_name': ' Brozović ', 'player_number': ' 11'}, {'player_name': ' Modrić ', 'player_number': ' 10'}, {'player_name': ' Sosa ', 'player_number': ' 19'}, {'player_name': ' Gvardiol ', 'player_number': ' 20'}, {'player_name': ' Lovren ', 'player_number': ' 6'}, {'player_name': ' Juranović ', 'player_number': ' 22'}, {'player_name': ' Livaković ', 'player_number': ' 1'}]","[{'player_name': ' Richarlison ', 'player_number': ' 9'}, {'player_name': ' Vinícius Júnior ', 'player_number': ' 20'}, {'player_name': ' Neymar ', 'player_number': ' 10'}, {'player_name': ' Raphinha ', 'player_number': ' 11'}, {'player_name': ' Casemiro ', 'player_number': ' 5'}, {'player_name': ' Lucas Paquetá ', 'player_number': ' 7'}, {'player_name': ' Danilo ', 'player_number': ' 2'}, {'player_name': ' Thiago Silva ', 'player_number': ' 3'}, {'player_name': ' Marquinhos ', 'player_number': ' 4'}, {'player_name': ' Éder Militão ', 'player_number': ' 14'}, {'player_name': ' Alisson ', 'player_number': ' 1'}]"
Round of 16,06/12/2022,False,False,False,Portugal,Switzerland,6,1,47%, 53% ,15, 10 ,9, 3 ,57%, 44% , 80% , 3% , 17% ,487290,Lusail Iconic Stadium,"[{'event_team': 'home', 'event_time': "" 17' "", 'event_type': 'Goal', 'action_player_1': ' Gonçalo Ramos ', 'action_player_2': ' João Félix '}, {'event_team': 'home', 'event_time': "" 33' "", 'event_type': 'Goal', 'action_player_1': ' Pepe ', 'action_player_2': ' Bruno Fernandes '}, {'event_team': 'away', 'event_time': "" 43' "", 'event_type': 'Yellow card', 'action_player_1': ' Fabian Schär '}, {'event_team': 'away', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Eray Cömert ', 'action_player_2': ' Fabian Schär '}, {'event_team': 'home', 'event_time': "" 51' "", 'event_type': 'Goal', 'action_player_1': ' Gonçalo Ramos '}, {'event_team': 'away', 'event_time': "" 54' "", 'event_type': 'Substitution', 'action_player_1': ' Denis Zakaria ', 'action_player_2': ' Remo Freuler '}, {'event_team': 'away', 'event_time': "" 54' "", 'event_type': 'Substitution', 'action_player_1': ' Haris Seferovic ', 'action_player_2': ' Djibril Sow '}, {'event_team': 'home', 'event_time': "" 55' "", 'event_type': 'Goal', 'action_player_1': ' Raphaël Guerreiro ', 'action_player_2': ' Gonçalo Ramos '}, {'event_team': 'away', 'event_time': "" 58' "", 'event_type': 'Goal', 'action_player_1': ' Manuel Akanji '}, {'event_team': 'away', 'event_time': "" 59' "", 'event_type': 'Yellow card', 'action_player_1': ' Eray Cömert '}, {'event_team': 'away', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Noah Okafor ', 'action_player_2': ' Ruben Vargas '}, {'event_team': 'home', 'event_time': "" 67' "", 'event_type': 'Goal', 'action_player_1': ' Gonçalo Ramos ', 'action_player_2': ' João Félix '}, {'event_team': 'home', 'event_time': "" 73' "", 'event_type': 'Substitution', 'action_player_1': ' Cristiano Ronaldo ', 'action_player_2': ' João Félix '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Ricardo Horta ', 'action_player_2': ' Gonçalo Ramos '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Vitinha ', 'action_player_2': ' Otávio '}, {'event_team': 'home', 'event_time': "" 81' "", 'event_type': 'Substitution', 'action_player_1': ' Rúben Neves ', 'action_player_2': ' Bernardo Silva '}, {'event_team': 'home', 'event_time': "" 87' "", 'event_type': 'Substitution', 'action_player_1': ' Rafael Leão ', 'action_player_2': ' Bruno Fernandes '}, {'event_team': 'away', 'event_time': "" 89' "", 'event_type': 'Substitution', 'action_player_1': ' Ardon Jashari ', 'action_player_2': ' Breel Embolo '}, {'event_team': 'home', 'event_time': "" 92' "", 'event_type': 'Goal', 'action_player_1': ' Rafael Leão ', 'action_player_2': ' Raphaël Guerreiro '}]","[{'player_name': ' Félix ', 'player_number': ' 11'}, {'player_name': ' Ramos ', 'player_number': ' 26'}, {'player_name': ' Fernandes ', 'player_number': ' 8'}, {'player_name': ' Bernardo Silva ', 'player_number': ' 10'}, {'player_name': ' Carvalho ', 'player_number': ' 14'}, {'player_name': ' Otávio ', 'player_number': ' 25'}, {'player_name': ' Guerreiro ', 'player_number': ' 5'}, {'player_name': ' Dias ', 'player_number': ' 4'}, {'player_name': ' Pepe ', 'player_number': ' 3'}, {'player_name': ' Dalot ', 'player_number': ' 2'}, {'player_name': ' Costa ', 'player_number': ' 22'}]","[{'player_name': ' Shaqiri ', 'player_number': ' 23'}, {'player_name': ' Embolo ', 'player_number': ' 7'}, {'player_name': ' Vargas ', 'player_number': ' 17'}, {'player_name': ' Freuler ', 'player_number': ' 8'}, {'player_name': ' Sow ', 'player_number': ' 15'}, {'player_name': ' Fernandes ', 'player_number': ' 2'}, {'player_name': ' Xhaka ', 'player_number': ' 10'}, {'player_name': ' Rodríguez ', 'player_number': ' 13'}, {'player_name': ' Schär ', 'player_number': ' 22'}, {'player_name': ' Akanji ', 'player_number': ' 5'}, {'player_name': ' Sommer ', 'player_number': ' 1'}]"
Round of 16,06/12/2022,True,3,0,Morocco,Spain,0,0,23%, 77% ,6, 13 ,2, 1 ,55%, 45% , 34% , 3% , 63% ,463912,Education City Stadium,"[{'event_team': 'away', 'event_time': "" 63' "", 'event_type': 'Substitution', 'action_player_1': ' Álvaro Morata ', 'action_player_2': ' Marco Asensio '}, {'event_team': 'away', 'event_time': "" 63' "", 'event_type': 'Substitution', 'action_player_1': ' Carlos Soler ', 'action_player_2': ' Gavi '}, {'event_team': 'home', 'event_time': "" 66' "", 'event_type': 'Substitution', 'action_player_1': ' Abdessamad Ezzalzouli ', 'action_player_2': ' Sofiane Boufal '}, {'event_team': 'away', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Nico Williams ', 'action_player_2': ' Ferran Torres '}, {'event_team': 'away', 'event_time': "" 76' "", 'event_type': 'Yellow card', 'action_player_1': ' Aymeric Laporte '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Walid Cheddira ', 'action_player_2': ' Selim Amallah '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Abdelhamid Sabiri ', 'action_player_2': ' Youssef En-Nesyri '}, {'event_team': 'home', 'event_time': "" 82' "", 'event_type': 'Substitution', 'action_player_1': ' Yahia Attiyat Allah ', 'action_player_2': ' Noussair Mazraoui '}, {'event_team': 'home', 'event_time': "" 84' "", 'event_type': 'Substitution', 'action_player_1': ' Jawad El Yamiq ', 'action_player_2': ' Nayef Aguerd '}, {'event_team': 'home', 'event_time': "" 90' "", 'event_type': 'Yellow card', 'action_player_1': ' Romain Saïss '}, {'event_team': 'away', 'event_time': "" 98' "", 'event_type': 'Substitution', 'action_player_1': ' Ansu Fati ', 'action_player_2': ' Dani Olmo '}, {'event_team': 'away', 'event_time': "" 98' "", 'event_type': 'Substitution', 'action_player_1': ' Alejandro Baldé ', 'action_player_2': ' Jordi Alba '}, {'event_team': 'away', 'event_time': "" 118' "", 'event_type': 'Substitution', 'action_player_1': ' Pablo Sarabia ', 'action_player_2': ' Nico Williams '}, {'event_team': 'home', 'event_time': "" 120' "", 'event_type': 'Substitution', 'action_player_1': ' Badr Benoun ', 'action_player_2': ' Azzedine Ounahi '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Abdelhamid Sabiri '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Pablo Sarabia '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Hakim Ziyech '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Carlos Soler '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Badr Benoun '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Sergio Busquets '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Achraf Hakimi '}]","[{'player_name': ' Boufal ', 'player_number': ' 17'}, {'player_name': ' En-Nesyri ', 'player_number': ' 19'}, {'player_name': ' Ziyech ', 'player_number': ' 7'}, {'player_name': ' Amallah ', 'player_number': ' 15'}, {'player_name': ' Amrabat ', 'player_number': ' 4'}, {'player_name': ' Ounahi ', 'player_number': ' 8'}, {'player_name': ' Mazraoui ', 'player_number': ' 3'}, {'player_name': ' Saïss ', 'player_number': ' 6'}, {'player_name': ' Aguerd ', 'player_number': ' 5'}, {'player_name': ' Hakimi ', 'player_number': ' 2'}, {'player_name': ' Bono ', 'player_number': ' 1'}]","[{'player_name': ' Olmo ', 'player_number': ' 21'}, {'player_name': ' Asensio ', 'player_number': ' 10'}, {'player_name': ' Torres ', 'player_number': ' 11'}, {'player_name': ' Pedri ', 'player_number': ' 26'}, {'player_name': ' Busquets ', 'player_number': ' 5'}, {'player_name': ' Gavi ', 'player_number': ' 9'}, {'player_name': ' Alba ', 'player_number': ' 18'}, {'player_name': ' Laporte ', 'player_number': ' 24'}, {'player_name': ' Rodri ', 'player_number': ' 16'}, {'player_name': ' Llorente ', 'player_number': ' 6'}, {'player_name': ' Simón ', 'player_number': ' 23'}]"
